DATE;DAX 30 PERFORMANCE - PRICE INDEX
19.12.69;619,93
22.12.69;614,94
23.12.69;614,98
24.12.69;614,98
25.12.69;614,98
26.12.69;614,98
29.12.69;616,13
30.12.69;618,1
31.12.69;622,38
01.01.70;622,38
02.01.70;629,11
05.01.70;628,48
06.01.70;622,38
07.01.70;623,39
08.01.70;623,83
09.01.70;618,7
12.01.70;612,9
13.01.70;607,28
14.01.70;602,11
15.01.70;591,7
16.01.70;581,77
19.01.70;579,8
20.01.70;580,76
21.01.70;590,17
22.01.70;592,93
23.01.70;590,17
26.01.70;590,84
27.01.70;592,55
28.01.70;593,33
29.01.70;584,52
30.01.70;582,18
02.02.70;574,55
03.02.70;571,65
04.02.70;575,97
05.02.70;576,23
06.02.70;583,55
09.02.70;585,49
10.02.70;585,49
11.02.70;580,99
12.02.70;582,51
13.02.70;580,39
16.02.70;576,38
17.02.70;576,41
18.02.70;571,32
19.02.70;576,49
20.02.70;576,04
23.02.70;577,42
24.02.70;575,11
25.02.70;569,79
26.02.70;567,63
27.02.70;564,55
02.03.70;558,6
03.03.70;549,37
04.03.70;553,39
05.03.70;558,71
06.03.70;561,27
09.03.70;551,05
10.03.70;555,1
11.03.70;560,01
12.03.70;568,53
13.03.70;575,26
16.03.70;569,46
17.03.70;570,13
18.03.70;569,42
19.03.70;563,62
20.03.70;560,94
23.03.70;557,44
24.03.70;559,19
25.03.70;560,38
26.03.70;567
27.03.70;567
30.03.70;567
31.03.70;572,66
01.04.70;573,92
02.04.70;574,63
03.04.70;571,76
06.04.70;572,77
07.04.70;579,61
08.04.70;582,66
09.04.70;581,25
10.04.70;580,47
13.04.70;575,89
14.04.70;567,15
15.04.70;574,48
16.04.70;571,13
17.04.70;561,76
20.04.70;562,32
21.04.70;566,93
22.04.70;562,17
23.04.70;558,26
24.04.70;550,86
27.04.70;540,82
28.04.70;532,6
29.04.70;524,12
30.04.70;532,9
01.05.70;532,9
04.05.70;530,81
05.05.70;532,75
06.05.70;537,51
07.05.70;537,51
08.05.70;534,79
11.05.70;527,32
12.05.70;520,99
13.05.70;510,99
14.05.70;502,32
15.05.70;494,03
18.05.70;494,03
19.05.70;491,24
20.05.70;479,82
21.05.70;467,81
22.05.70;467,18
25.05.70;459,66
26.05.70;445,87
27.05.70;444,6
28.05.70;444,6
29.05.70;485,85
01.06.70;473,8
02.06.70;487,41
03.06.70;493,99
04.06.70;498,23
05.06.70;483,91
08.06.70;480,98
09.06.70;485,77
10.06.70;484,43
11.06.70;490,39
12.06.70;492,06
15.06.70;489,79
16.06.70;489,08
17.06.70;489,08
18.06.70;483,73
19.06.70;483,95
22.06.70;482,2
23.06.70;476,55
24.06.70;467,73
25.06.70;469,82
26.06.70;470,97
29.06.70;464,8
30.06.70;464,83
01.07.70;466,25
02.07.70;463,42
03.07.70;461,56
06.07.70;457,54
07.07.70;455,87
08.07.70;469,85
09.07.70;468,74
10.07.70;474,09
13.07.70;485,85
14.07.70;481,46
15.07.70;479,6
16.07.70;490,68
17.07.70;484,77
20.07.70;477,33
21.07.70;473,65
22.07.70;478,04
23.07.70;478,15
24.07.70;484,69
27.07.70;481,68
28.07.70;482,43
29.07.70;489,68
30.07.70;490,61
31.07.70;492,54
03.08.70;497,15
04.08.70;494,74
05.08.70;499,09
06.08.70;502,84
07.08.70;504,18
10.08.70;509,47
11.08.70;508,2
12.08.70;513,67
13.08.70;509,91
14.08.70;500,32
17.08.70;495,63
18.08.70;497,75
19.08.70;497,67
20.08.70;499,42
21.08.70;502,47
24.08.70;507,35
25.08.70;504,22
26.08.70;501,99
27.08.70;499,57
28.08.70;498,46
31.08.70;496,6
01.09.70;494,07
02.09.70;497,79
03.09.70;496,67
04.09.70;495,78
07.09.70;494,03
08.09.70;492,32
09.09.70;489,79
10.09.70;487
11.09.70;484,03
14.09.70;479,23
15.09.70;480,34
16.09.70;474,09
17.09.70;473,72
18.09.70;477,63
21.09.70;474,58
22.09.70;476,74
23.09.70;478,86
24.09.70;486,26
25.09.70;489,68
28.09.70;490,13
29.09.70;486,93
30.09.70;486,67
01.10.70;479,75
02.10.70;478,48
05.10.70;481,98
06.10.70;482,24
07.10.70;479,41
08.10.70;475,69
09.10.70;476,07
12.10.70;470
13.10.70;466,47
14.10.70;469,11
15.10.70;471,27
16.10.70;471,49
19.10.70;472,5
20.10.70;475,99
21.10.70;485,18
22.10.70;478,07
23.10.70;489,16
26.10.70;491,43
27.10.70;490,5
28.10.70;481,31
29.10.70;482,84
30.10.70;477,18
02.11.70;474,21
03.11.70;476,18
04.11.70;477,74
05.11.70;476,4
06.11.70;476,62
09.11.70;472,42
10.11.70;472,16
11.11.70;476,18
12.11.70;471,38
13.11.70;463,87
16.11.70;461,78
17.11.70;463,9
18.11.70;463,9
19.11.70;453,53
20.11.70;448,69
23.11.70;445,75
24.11.70;446,98
25.11.70;451,7
26.11.70;458,14
27.11.70;459,52
30.11.70;458,21
01.12.70;461,75
02.12.70;459,7
03.12.70;458,81
04.12.70;455,31
07.12.70;447,84
08.12.70;447,84
09.12.70;451,59
10.12.70;454,46
11.12.70;459,25
14.12.70;453,94
15.12.70;453,82
16.12.70;452,41
17.12.70;451,82
18.12.70;451,04
21.12.70;444,56
22.12.70;444,42
23.12.70;448,47
24.12.70;448,47
25.12.70;448,47
28.12.70;447,39
29.12.70;444,94
30.12.70;446,24
31.12.70;443,86
01.01.71;443,86
04.01.71;444,19
05.01.71;451,22
06.01.71;458,03
07.01.71;464,05
08.01.71;471,38
11.01.71;475,43
12.01.71;477,63
13.01.71;487,34
14.01.71;481,61
